Season Number,Episode Number,Pitch Number,Original Air Date,Startup Name,Industry,Business Description,Pitchers Gender,Pitchers City,Pitchers State,Pitchers Average Age,Entrepreneur Names,Company Website,Multiple Entrepreneurs,US Viewership,Original Ask Amount,Original Offered Equity,Valuation Requested,Got Deal,Deal Status,Total Deal Amount,Total Deal Equity,Deal Valuation,Number of sharks in deal,Investment Amount Per Shark,Equity Per Shark,Royalty Deal,Loan,Barbara Corcoran Investment Amount,Barbara Corcoran Investment Equity,Mark Cuban Investment Amount,Mark Cuban Investment Equity,Lori Greiner Investment Amount,Lori Greiner Investment Equity,Robert Herjavec Investment Amount,Robert Herjavec Investment Equity,Daymond John Investment Amount,Daymond John Investment Equity,Kevin O Leary Investment Amount,Kevin O Leary Investment Equity,Guest Investment Amount,Guest Investment Equity,Investment Count,Guest Name,Barbara Corcoran Present,Mark Cuban Present,Lori Greiner Present,Robert Herjavec Present,Daymond John Present,Kevin O Leary Present
6,4,394,10-10-2014,FunCakesRental,Food & Beverage,FunCakes Rental - Weddings,Female,Grandville,MI,UnKnown,UnKnown,http://www.cakerental.com,0,7.34,285000,25,1140000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UnKnown,1,1,1,1,0,1
6,4,395,10-10-2014,TableJacks,Lifestyle & Home,Table Jacks - Novelties,Male,Houston,TX,UnKnown,UnKnown,http://www.tablejacks.com,0,7.34,100000,25,400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UnKnown,1,1,1,1,0,1
6,5,396,17-10-2014,TheRedDressBoutique,Fashion & Beauty,The Red Dress Boutique - Women's Apparel,Mixed Team,Athens,GA,UnKnown,Josh and Diana Harbour,http://thereddressboutique.com/,1,7.32,600000,5,12000000,1,1,1200000,20,6000000,2,600000,10,0,0,0,0,600000,10,0,0,600000,10,0,0,0,0,0,0,2,UnKnown,0,1,1,1,1,1
6,5,397,17-10-2014,SunStaches,Fashion & Beauty,SunStaches - Novelties,Male,Los Angeles,CA,UnKnown,"Daniel Gershon, David Levich, and Eric Liberman",https://www.sunstaches.com/,1,7.32,300000,5,6000000,1,1,300000,20,1500000,1,300000,20,0,0,0,0,0,0,0,0,0,0,300000,20,0,0,0,0,1,UnKnown,0,1,1,1,1,1
6,5,398,17-10-2014,JungleJumpaRoo,Children & Education,Jungle JumpaRoo - Toys and Games,Mixed Team,Orem,UT,UnKnown,Rachel and Steve McMurtrey,http://junglejumparoo.com/,1,7.32,100000,20,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UnKnown,0,1,1,1,1,1
6,5,399,17-10-2014,TheCaddyGirls,"Fitness, Sports & Outdoors",The Caddy Girls - Entertainment,Female,Myrtle Beach,NC,UnKnown,Meghan Tarney,http://thecaddygirls.com/,0,7.32,100000,20,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UnKnown,0,1,1,1,1,1
6,6,400,24-10-2014,Honeyfund,Software & Technology,Honeyfund - Weddings,Mixed Team,Sebastopol,CA,Middle,Sara and Josh Margulis,http://www.honeyfund.com/,1,6.89,400000,10,4000000,1,1,400000,0,0,1,400000,0,1,0,0,0,0,0,0,0,0,0,0,0,400000,0,0,0,1,UnKnown,1,1,1,1,0,1
6,6,401,24-10-2014,BeatBoxBeverages,Food & Beverage,BeatBox Beverages - Alcoholic Beverages,Mixed Team,Austin,TX,UnKnown,"Brad Schultz, Aimy Steadman, and Justin Fenchel",http://www.beatboxbeverages.com/,1,6.89,200000,10,2000000,1,1,1000000,33,3030303,1,1000000,33,0,0,0,0,1000000,33,0,0,0,0,0,0,0,0,0,0,1,UnKnown,1,1,1,1,0,1
6,6,402,24-10-2014,OilerieUSA,Food & Beverage,Oilerie USA - Specialty Food,Male,Egg Harbor,WI,UnKnown,Amy Jo and Curt Campbell,http://www.oilerie.com/,1,6.89,500000,35,1428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UnKnown,1,1,1,1,0,1
6,6,403,24-10-2014,EmergenSee,Software & Technology,EmergenSee - Home Security Solutions,Male,San Francisco,CA,UnKnown,Phil Reitnour and Jason D. Friedberg,http://emergensee.com/,1,6.89,250000,10,2500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UnKnown,1,1,1,1,0,1
6,7,404,31-10-2014,MyselfBelts,Children & Education,Myself Belts - Baby and Children's Apparel and Accessories,Female,St. Louis,MO,UnKnown,Talia Goldfarb,http://www.myselfbelts.com,0,7.8,60000,10,600000,1,1,75000,25,300000,1,75000,25,0,0,0,0,0,0,0,0,0,0,75000,25,0,0,0,0,1,UnKnown,0,1,1,1,1,1
6,7,405,31-10-2014,Titin,"Fitness, Sports & Outdoors",Titin - Fitness Apparel and Accessories,Male,Atlanta,GA,UnKnown,Patrick  Whaley,http://titintech.com/,0,7.8,500000,5,10000000,1,1,500000,20,2500000,1,500000,20,0,0,0,0,0,0,0,0,0,0,500000,20,0,0,0,0,1,UnKnown,0,1,1,1,1,1
